route,price,snippet
/antivirus-setup,€60,"""ESET Internet Security"", desc: ""Licht, snel, betrouwbaar"", price: ""€60/jaar"", badge: ""Partnership"", }, { name: ""ESET NOD32"","
/antivirus-setup,€80,"name: ""ESET NOD32"", desc: ""Geavanceerde bescherming"", price: ""€80/jaar"", badge: ""Partnership"", }, { name: ""Windows Defender"","
/antivirus-setup,€65,"{ name: ""Kaspersky"", desc: ""Krachtig en geavanceerd"", price: ""€65/jaar"", badge: ""Optioneel"", }, { name: ""Bitdefender"","
/antivirus-setup,€55,"}, { name: ""Bitdefender"", desc: ""Licht en snel"", price: ""€55/jaar"", badge: ""Optioneel"", }, { name: ""Norton"", desc:"
/antivirus-setup,€70,"}, { name: ""Norton"", desc: ""Volledig pakket"", price: ""€70/jaar"", badge: ""Optioneel"", }, ]; const setup_steps = [ { tit"
/antivirus-setup,€39,"{ q: ""Hoe veel kost antivirus installatie?"", a: ""Installatie is €39 (30 min remote) of €59 (1 uur aan huis). De antivirus zelf kost €55-80 per jaar"
/antivirus-setup,€59,"l kost antivirus installatie?"", a: ""Installatie is €39 (30 min remote) of €59 (1 uur aan huis). De antivirus zelf kost €55-80 per jaar."", }, {"
/antivirus-setup,€55,"tallatie is €39 (30 min remote) of €59 (1 uur aan huis). De antivirus zelf kost €55-80 per jaar."", }, { q: ""Kan ik meerdere antivirus programma's teg"
/antivirus-setup,€39,Remote €39 30 minuten
/antivirus-setup,€59,n Huis €59 1 uur
/antivirus-setup,€60,curity €60 per jaar
/antivirus-setup,€99,"ter text-foreground/70 mt-6""> Antivirus installatie + ESET 1 jaar = €99 (kan ook per maand €5/maand)"
/antivirus-setup,€5,"mt-6""> Antivirus installatie + ESET 1 jaar = €99 (kan ook per maand €5/maand) <HomepageServicesC"
/computerhulp,€49,"em gestabiliseerd"", result: ""Werkdag voortgezet, alle data veilig, kosten €49"", location: ""Den Haag Centrum"", }, faqExtra: [ { q:"
/cyber-apk,€65,""", a: ""Nee, we kunnen het ook voor je uitvoeren. Dat rekenen we apart af (€65/u)."", }, ]; return ( {/* Hero"
/cyber-apk,€129,yber APK €129 60–90 min + kort advie
/diensten,€149,"nt-medium"">Wanneer & prijs Remote meestal binnen 60 min (cap €149). On-site doorgaans binnen 24–48 uur (spoed mogelijk)."
/email,€59,n huis €59 per uur
/email,€39,ossing €39 30 minuten</
/email,€59,"t-2""> ""Nu krijg je alle e-mails. Spam is veel minder. Kosten: €59 (1 uur)."" <p className="
/expat,€39,"]; const pricing = [ { name: ""Remote Computer Help"", price: ""€39 / 30 min"", cap: ""capped at €99"", description: ""For software issues,"
/expat,€99,"ame: ""Remote Computer Help"", price: ""€39 / 30 min"", cap: ""capped at €99"", description: ""For software issues, virus removal, configuration"", }"
/expat,€65,"emoval, configuration"", }, { name: ""On-site Visit"", price: ""€65 / hour"", cap: ""no travel fees in The Hague area"", description: ""For"
/expat,€79,"allation"", }, { name: ""Emergency Security Support"", price: ""€79 / 45 min"", cap: ""capped at €149 remote"", description: ""24/7 availab"
/expat,€149,"Emergency Security Support"", price: ""€79 / 45 min"", cap: ""capped at €149 remote"", description: ""24/7 available for urgent security issues"", },"
/expat,€19,"auto""> No hidden fees. If we can't solve your problem, you only pay €19 for the diagnosis. <div className=""grid md:grid-cols-3"
/faq,€39,"t kost computerhulp in Den Haag?"", answer: ""Remote QuickFix vanaf €39 (cap €99), on-site €65/uur (min. 1u). Geen voorrijkosten in Haaglanden. Voor sp"
/faq,€99,"mputerhulp in Den Haag?"", answer: ""Remote QuickFix vanaf €39 (cap €99), on-site €65/uur (min. 1u). Geen voorrijkosten in Haaglanden. Voor spoedhulp b"
/faq,€65,"Den Haag?"", answer: ""Remote QuickFix vanaf €39 (cap €99), on-site €65/uur (min. 1u). Geen voorrijkosten in Haaglanden. Voor spoedhulp bij hacks €79 r"
/faq,€79,"e €65/uur (min. 1u). Geen voorrijkosten in Haaglanden. Voor spoedhulp bij hacks €79 remote (cap €149) of €199 on-site (tot 2u)."", }, { question: ""Hoe"
/faq,€149,"1u). Geen voorrijkosten in Haaglanden. Voor spoedhulp bij hacks €79 remote (cap €149) of €199 on-site (tot 2u)."", }, { question: ""Hoe snel zijn jullie"
/faq,€199,"voorrijkosten in Haaglanden. Voor spoedhulp bij hacks €79 remote (cap €149) of €199 on-site (tot 2u)."", }, { question: ""Hoe snel zijn jullie ter plaa"
/faq,€19,"ls het probleem niet wordt opgelost?"", answer: ""Je betaalt alleen €19 voor de diagnose, geen arbeidsloon. We zijn transparant over wat wel en niet ka"
/faq,€129,"""Een uitgebreide veiligheidscheck van je computer of netwerk (60–90 min, €129). We controleren updates, antivirus, firewall, wachtwoorden, backup en geven ee"
/hulp-op-afstand,€39,"hulp op afstand via veilige schermdeling. Meestal binnen 10–30 minuten reactie. €39–€99, geen voorrijkosten."", alternates: { canonical: ""https://www.instanti"
/hulp-op-afstand,€99,"op afstand via veilige schermdeling. Meestal binnen 10–30 minuten reactie. €39–€99, geen voorrijkosten."", alternates: { canonical: ""https://www.instantit.nl"
/hulp-op-afstand,€39,"g, jij geeft per stap toestemming"" }, { title: ""Transparante prijs"", desc: ""€39–€99, geen verrassingen. Je ziet de prijs vooraf"" }, { title: ""Geen bezoek n"
/hulp-op-afstand,€99,"ij geeft per stap toestemming"" }, { title: ""Transparante prijs"", desc: ""€39–€99, geen verrassingen. Je ziet de prijs vooraf"" }, { title: ""Geen bezoek nodig"
/hulp-op-afstand,€39,"Name=""p-8""> €39–€99 Meestal"
/hulp-op-afstand,€99,"=""p-8""> €39–€99 Meestal binn"
/hulp-op-afstand,€1,"Je betaalt €1 per minuut . Minimum 30 minuten (€39), maximum €99. Je ziet de prijs al"
/hulp-op-afstand,€39,"Je betaalt €1 per minuut . Minimum 30 minuten (€39), maximum €99. Je ziet de prijs altijd vooraf voordat we starten."
/hulp-op-afstand,€99,"Je betaalt €1 per minuut . Minimum 30 minuten (€39), maximum €99. Je ziet de prijs altijd vooraf voordat we starten."
/ik-ben-gehackt,€149,remote) €149 Tot 2 uur •
/ik-ben-gehackt,€249,huis) €249 Tot 2 uur •
/ik-ben-gehackt,€30,Tot 2 uur • daarna €30 per 15 min
/ik-ben-gehackt,€99,ntief) €99 Remote • upd
/ik-ben-gehackt,€149,n-site €149 Ter plaatse
/mac-support,€59,"ouw model."", }, { q: ""Hoeveel kost Mac ondersteuning?"", a: ""€59/uur aan huis, €39/30 min remote. Diagnose is altijd inbegrepen."", }, {"
/mac-support,€39,", { q: ""Hoeveel kost Mac ondersteuning?"", a: ""€59/uur aan huis, €39/30 min remote. Diagnose is altijd inbegrepen."", }, { q: ""Heb ik A"
/mac-support,€59,n huis €59 per uur
/mac-support,€39,euning €39 30 minuten</
/mac-support,€89,"""> ""MacBook voelt weer als nieuw! Supersnel. Dank je! Kosten: €89 (ongeveer 1,5 uur)."" <p"
/mobiel-tablet,€59,s hulp €59 per uur
/mobiel-tablet,€39,setup €39 30 minuten</
/mobiel-tablet,€59,"n ik zelfstandig! Alle foto's er in. Kan videobellen met kleinkinderen. Kosten: €59 (1 uur)."" <p className="
/,€39,"ound/80 space-y-3""> Computerhulp op afstand begint bij €39 voor 30 minuten. Je ziet altijd de prijs voordat we starten."
